NAME,APPS,MINS,TACKLES,INTS,POS WON,BLOCKS,CLEARANCES,TOTAL,WON,%,TOTAL,WON,%
Reinildo Mandava,9,753,18,11,27,4,31,66,38,57.60%,29,14,48.30%
Patrick Dorgu,11,682,23,10,26,1,16,90,48,53.30%,44,21,47.70%
Leandro Trossard,10,723,6,4,26,0,2,54,23,42.60%,6,2,33.30%
Tijjani Reijnders,11,774,6,2,26,0,13,56,25,44.60%,5,2,40.00%
Ladislav Krejcí,9,795,10,8,26,8,39,36,12,33.30%,31,20,64.50%
Virgil van Dijk,12,1080,8,12,26,8,102,24,17,70.80%,72,57,79.20%
Maxim De Cuyper,10,459,9,3,26,0,11,40,18,45.00%,11,4,36.40%
Diego Gómez,11,613,27,5,26,0,8,70,39,55.70%,25,13,52.00%
Diogo Dalot,10,627,15,6,25,0,23,36,21,58.30%,13,8,61.50%
Jean-Philippe Mateta,12,1022,5,5,25,1,18,51,21,41.20%,72,30,41.70%
Evanilson,10,813,2,0,25,1,8,33,17,51.50%,42,13,31.00%
Harry Wilson,11,748,12,4,25,1,11,45,31,68.90%,5,0,0.00%
Georginio Rutter,11,773,10,2,25,1,10,87,35,40.20%,15,7,46.70%
Jean-Clair Todibo,7,577,15,5,25,2,35,26,18,69.20%,20,8,40.00%
Omar Alderete,8,667,12,10,24,6,44,31,19,61.30%,35,17,48.60%
Igor Thiago,12,1014,16,2,24,1,24,72,31,43.10%,86,34,39.50%
Sasa Lukic,9,680,17,6,24,4,13,65,31,47.70%,21,6,28.60%
Ibrahim Sangaré,9,594,18,7,23,4,13,46,24,52.20%,13,5,38.50%
Kyle Walker-Peters,11,510,10,0,23,2,17,40,26,65.00%,15,6,40.00%
Josko Gvardiol,8,700,10,7,22,4,29,28,15,53.60%,16,9,56.30%
Chemsdine Talbi,12,616,5,0,22,0,8,24,8,33.30%,5,0,0.00%
Keane Lewis-Potter,10,474,9,2,21,0,15,38,19,50.00%,5,2,40.00%
Conor Bradley,9,532,10,8,21,3,11,55,23,41.80%,24,11,45.80%
Richarlison,12,722,7,2,20,1,20,52,21,40.40%,50,20,40.00%
Fabian Schär,7,515,7,13,20,6,35,21,11,52.40%,26,18,69.20%
Álex Jiménez,9,457,11,4,20,1,8,39,21,53.80%,7,4,57.10%
Viktor Gyökeres,10,802,2,0,20,0,7,45,16,35.60%,44,17,38.60%
Konstantinos Mavropanos,6,490,2,7,20,5,45,8,3,37.50%,26,16,61.50%
Marshall Munetsi,12,868,21,7,19,2,30,76,35,46.10%,63,29,46.00%
Santiago Bueno,8,664,23,14,19,5,27,44,28,63.60%,26,17,65.40%
Aaron Wan-Bissaka,8,653,8,13,19,1,34,32,16,50.00%,8,5,62.50%
Chris Richards,12,1073,26,18,19,8,73,43,27,62.80%,61,37,60.70%
Amadou Onana,7,488,15,7,19,7,16,42,27,64.30%,13,8,61.50%
