Player,APPS,MINS,GOALS,XG,GOALS VS XG,SHOTS,SOT,CONV %,XG PER SHOT
Noah Okafor,9,600,2,1.36,0.64,8,3,25.00%,0.17
Sasa Lukic,9,680,1,1.35,-0.35,7,2,14.29%,0.19
Lyle Foster,9,602,2,1.3,0.7,8,2,25.00%,0.16
Florian Wirtz,11,693,0,1.3,-1.3,12,3,0.00%,0.11
Declan Rice,12,986,2,1.28,0.72,13,5,15.38%,0.1
Casemiro,10,620,3,1.28,1.72,10,3,30.00%,0.13
Alexis Mac Allister,11,734,0,1.24,-1.24,14,4,0.00%,0.09
Nicolò Savona,7,519,2,1.21,0.79,2,2,100.00%,0.61
Jack Grealish,10,826,1,1.16,-0.16,13,6,7.69%,0.09
Kyle Walker-Peters,11,510,1,1.1,-0.1,4,2,25.00%,0.27
Anton Stach,11,823,1,1.09,-0.09,16,5,6.25%,0.07
Idrissa Gueye,11,952,2,1.08,0.92,13,3,15.38%,0.08
Emiliano Buendía,10,474,3,1.07,1.93,16,3,18.75%,0.07
Jérémy Doku,12,699,1,1.07,-0.07,9,7,11.11%,0.12
Enzo Le Fée,11,785,1,1.03,-0.03,7,1,14.29%,0.15
Nico O'Reilly,11,776,1,1.01,-0.01,12,2,8.33%,0.08
Yasin Ayari,12,962,1,1.01,-0.01,20,6,5.00%,0.05
Chemsdine Talbi,12,616,1,1.01,-0.01,9,2,11.11%,0.11
John McGinn,12,913,1,1,0,12,3,8.33%,0.08
Dan Ballard,10,670,2,1,1,12,5,16.67%,0.08
Matthijs de Ligt,11,990,1,0.99,0.01,7,2,14.29%,0.14
Milos Kerkez,11,766,1,0.97,0.03,4,1,25.00%,0.24
Brennan Johnson,12,481,2,0.96,1.04,5,2,40.00%,0.19
Michael Keane,11,965,2,0.95,1.05,9,3,22.22%,0.11
Lesley Ugochukwu,11,665,2,0.94,1.06,10,3,20.00%,0.09
Morgan Rogers,12,1068,3,0.93,2.07,15,8,20.00%,0.06
Crysencio Summerville,9,645,0,0.91,-0.91,12,2,0.00%,0.08
James Garner,11,990,1,0.91,0.09,20,5,5.00%,0.05
Josh King,12,732,0,0.9,-0.9,14,5,0.00%,0.06
Pascal Struijk,10,818,0,0.87,-0.87,9,2,0.00%,0.1
Neco Williams,12,1080,1,0.87,0.13,11,4,9.09%,0.08
Marc Guéhi,11,990,1,0.86,0.14,8,2,12.50%,0.11
Malo Gusto,10,576,1,0.83,0.17,5,2,20.00%,0.17
Ryan Sessegnon,11,929,2,0.82,1.18,6,3,33.33%,0.14
Gabriel Magalhães,11,990,1,0.81,0.19,8,1,12.50%,0.1
Santiago Bueno,8,664,1,0.8,0.2,2,2,50.00%,0.4
Trevoh Chalobah,11,932,2,0.8,1.2,10,4,20.00%,0.08
Kiernan Dewsbury-Hall,10,888,1,0.79,0.21,10,1,10.00%,0.08
Mikel Merino,11,502,1,0.78,0.22,6,2,16.67%,0.13
Kaoru Mitoma,6,510,1,0.76,0.24,6,3,16.67%,0.13
Sean Longstaff,12,880,1,0.75,0.25,11,2,9.09%,0.07
Ibrahima Konaté,12,981,0,0.75,-0.75,5,0,0.00%,0.15
Pape Matar Sarr,11,595,2,0.74,1.26,5,3,40.00%,0.15
Maxim De Cuyper,10,459,1,0.73,0.27,4,3,25.00%,0.18
Malick Thiaw,9,723,0,0.7,-0.7,7,2,0.00%,0.1
Joe Rodon,12,1080,2,0.69,1.31,8,4,25.00%,0.09
Daichi Kamada,10,843,0,0.69,-0.69,10,3,0.00%,0.07
Jayden Bogle,12,1052,0,0.68,-0.68,8,2,0.00%,0.09
Joelinton,10,741,0,0.68,-0.68,8,2,0.00%,0.09
Jan Paul van Hecke,12,1080,1,0.68,0.32,7,4,14.29%,0.1
João Palhinha,12,952,2,0.66,1.34,11,4,18.18%,0.06
Nordi Mukiele,10,900,1,0.65,0.35,7,1,14.29%,0.09
Alex Iwobi,12,994,1,0.63,0.37,16,5,6.25%,0.04
Omar Alderete,8,667,1,0.62,0.38,6,2,16.67%,0.1
Ibrahim Sangaré,9,594,1,0.62,0.38,6,2,16.67%,0.1
Josh Cullen,12,1034,2,0.62,1.38,6,5,33.33%,0.1
Callum Hudson-Odoi,11,573,1,0.61,0.39,10,4,10.00%,0.06
Martín Zubimendi,12,1028,2,0.6,1.4,10,3,20.00%,0.06
Sander Berge,12,1050,0,0.6,-0.6,4,3,0.00%,0.15
Alex Scott,12,781,1,0.58,0.42,12,4,8.33%,0.05
Ryan Gravenberch,10,872,3,0.58,2.42,12,5,25.00%,0.05
James Tarkowski,11,990,0,0.58,-0.58,2,1,0.00%,0.29
Nikola Milenkovic,12,1080,0,0.57,-0.57,7,1,0.00%,0.08
Lewis Dunk,12,1035,0,0.57,-0.57,8,0,0.00%,0.07
Patrick Dorgu,10,624,0,0.57,-0.57,6,1,0.00%,0.09
Moisés Caicedo,11,945,3,0.56,2.44,10,4,30.00%,0.06
Joachim Andersen,11,942,0,0.54,-0.54,6,1,0.00%,0.09
Maximilian Kilman,12,1080,0,0.53,-0.53,5,1,0.00%,0.11
Mikkel Damsgaard,10,802,1,0.53,0.47,7,4,14.29%,0.08
Marc Cucurella,12,988,0,0.53,-0.53,11,2,0.00%,0.05
Kristoffer Ajer,8,466,0,0.51,-0.51,7,2,0.00%,0.07
Tyler Adams,12,1036,1,0.5,0.5,7,5,14.29%,0.07
Maxence Lacroix,12,1080,0,0.49,-0.49,5,1,0.00%,0.1
Mateus Fernandes,10,720,1,0.49,0.51,6,1,16.67%,0.08
Florentino,9,740,0,0.49,-0.49,5,1,0.00%,0.1
Dan Ndoye,11,848,1,0.48,0.52,7,3,14.29%,0.07
Reece James,12,752,1,0.47,0.53,9,4,11.11%,0.05
Georginio Rutter,11,773,0,0.45,-0.45,11,6,0.00%,0.04
João Gomes,12,926,0,0.45,-0.45,7,1,0.00%,0.06
Sandro Tonali,12,962,0,0.44,-0.44,12,5,0.00%,0.04
Trai Hume,12,1068,0,0.44,-0.44,7,1,0.00%,0.06
Virgil van Dijk,12,1080,0,0.43,-0.43,5,2,0.00%,0.09
Loum Tchaouna,11,516,1,0.43,0.57,9,3,11.11%,0.05
Jake O'Brien,11,870,0,0.43,-0.43,5,1,0.00%,0.09
Konstantinos Mavropanos,6,490,0,0.42,-0.42,4,1,0.00%,0.11
Cristian Romero,10,838,0,0.41,-0.41,3,2,0.00%,0.14
Ethan Ampadu,10,879,0,0.41,-0.41,5,0,0.00%,0.08
Tyrick Mitchell,12,1079,1,0.41,0.59,5,3,20.00%,0.08
Oscar Bobb,9,467,0,0.4,-0.4,4,0,0.00%,0.1
Granit Xhaka,12,1080,1,0.38,0.62,7,4,14.29%,0.05
Emmanuel Agbadou,9,651,0,0.38,-0.38,6,2,0.00%,0.06
Gabriel Gudmundsson,12,1005,0,0.37,-0.37,5,0,0.00%,0.07
Nathan Collins,12,1080,0,0.37,-0.37,6,3,0.00%,0.06
Chris Richards,12,1073,0,0.37,-0.37,4,0,0.00%,0.09
Rodrigo Bentancur,11,725,1,0.36,0.64,6,1,16.67%,0.06
Xavi Simons,9,582,0,0.36,-0.36,7,2,0.00%,0.05
Jean-Ricner Bellegarde,11,501,0,0.36,-0.36,11,3,0.00%,0.03
Yehor Yarmoliuk,12,953,0,0.33,-0.33,8,3,0.00%,0.04
Tyrone Mings,7,498,0,0.33,-0.33,3,0,0.00%,0.11
Lucas Digne,12,867,0,0.32,-0.32,5,2,0.00%,0.06
Ferdi Kadioglu,11,825,0,0.32,-0.32,5,2,0.00%,0.06
Matty Cash,12,1058,2,0.31,1.69,12,5,16.67%,0.03
Adam Wharton,10,789,0,0.31,-0.31,7,0,0.00%,0.04
Leny Yoro,11,643,0,0.28,-0.28,3,0,0.00%,0.09
Nico González,11,736,1,0.27,0.73,7,1,14.29%,0.04
William Saliba,11,815,0,0.26,-0.26,2,0,0.00%,0.13
Murillo,9,741,1,0.26,0.74,4,2,25.00%,0.06
Jackson Tchatchoua,11,608,0,0.26,-0.26,1,0,0.00%,0.26
Amadou Onana,7,488,1,0.25,0.75,3,2,33.33%,0.08
Matheus Nunes,10,784,1,0.24,0.76,4,1,25.00%,0.06
El Hadji Malick Diouf,12,1035,0,0.22,-0.22,7,2,0.00%,0.03
Rúben Dias,12,995,1,0.21,0.79,3,1,33.33%,0.07
Keane Lewis-Potter,10,474,0,0.2,-0.2,4,1,0.00%,0.05
Mats Wieffer,10,732,0,0.2,-0.2,5,2,0.00%,0.04
Hugo Bueno,12,796,0,0.2,-0.2,3,1,0.00%,0.07
Djed Spence,11,839,0,0.18,-0.18,2,1,0.00%,0.09
Kenny Tete,9,809,0,0.18,-0.18,4,2,0.00%,0.04
Maxime Estève,12,1072,0,0.18,-0.18,4,1,0.00%,0.05
Michael Kayode,12,1045,0,0.17,-0.17,4,1,0.00%,0.04
Marcos Senesi,12,1068,0,0.17,-0.17,4,1,0.00%,0.04
Adrien Truffert,12,1053,0,0.17,-0.17,5,0,0.00%,0.03
Quilindschy Hartman,12,1069,0,0.17,-0.17,5,2,0.00%,0.03
Josko Gvardiol,8,700,0,0.16,-0.16,5,1,0.00%,0.03
Calvin Bassey,12,998,0,0.16,-0.16,2,0,0.00%,0.08
Will Hughes,10,450,0,0.16,-0.16,3,0,0.00%,0.05
Josh Laurent,11,566,0,0.16,-0.16,5,2,0.00%,0.03
Hjalmar Ekdal,7,534,0,0.16,-0.16,3,1,0.00%,0.05
Carlos Baleba,12,695,0,0.15,-0.15,9,0,0.00%,0.02
Sven Botman,10,658,0,0.13,-0.13,2,1,0.00%,0.07
Kyle Walker,12,1080,0,0.13,-0.13,3,0,0.00%,0.04
Pedro Porro,12,879,0,0.12,-0.12,4,0,0.00%,0.03
Bernardo Silva,12,721,0,0.11,-0.11,2,0,0.00%,0.06
Boubacar Kamara,10,737,0,0.1,-0.1,3,2,0.00%,0.03
Pau Torres,9,688,0,0.1,-0.1,2,0,0.00%,0.05
Fabian Schär,7,515,0,0.1,-0.1,5,0,0.00%,0.02
Noah Sadiki,12,1072,0,0.1,-0.1,3,0,0.00%,0.03
Álex Jiménez,9,457,0,0.1,-0.1,3,1,0.00%,0.03
Diogo Dalot,9,595,0,0.09,-0.09,3,0,0.00%,0.03
Reinildo Mandava,9,753,0,0.08,-0.08,2,0,0.00%,0.04
Conor Bradley,9,532,0,0.08,-0.08,3,0,0.00%,0.03
Luke Shaw,11,938,0,0.08,-0.08,1,0,0.00%,0.08
Jordan Henderson,12,925,0,0.07,-0.07,4,0,0.00%,0.02
Dan Burn,11,973,0,0.05,-0.05,2,0,0.00%,0.03
Vitalii Mykolenko,8,716,0,0.05,-0.05,3,1,0.00%,0.02
Ezri Konsa,11,966,0,0.04,-0.04,1,1,0.00%,0.04
Toti Gomes,9,617,0,0.04,-0.04,2,1,0.00%,0.02
Tosin Adarabioyo,8,467,0,0.04,-0.04,1,0,0.00%,0.04
André,12,797,0,0.03,-0.03,2,0,0.00%,0.02
Tino Livramento,7,617,0,0,0,0,0,0.00%,0
Aaron Wan-Bissaka,8,653,0,0,0,0,0,0.00%,0
Bafodé Diakité,9,765,0,0,0,0,0,0.00%,0
Jean-Clair Todibo,7,577,0,0,0,0,0,0.00%,0
Axel Tuanzebe,6,540,0,0,0,0,0,0.00%,0
Kieran Trippier,9,700,0,0,0,0,0,0.00%,0
